Stanowisko; Miejsce pracy; Rodzaj umowy; Pracodawca; Dostępna od; 
"Nauczyciel kształcenia słuchu"; "Lubań, dolnośląskie"; "Umowa o pracę na okres próbny"; "Szkoła Muzyczna I st. im. Oskara Kolberga"; "2025-03-28"; 
"Nauczyciel kształcenia słuchu i wiedzy o muzyce"; "Gorzów Wielkopolski, lubuskie"; "Umowa o pracę na czas określony"; "SZKOŁA MUZYCZNA I STOPNIA"; "2025-06-25"; 
"nauczyciel kształcenia ustawicznego - przedmioty rolnicze"; "Radymno, podkarpackie"; "Umowa o pracę na czas określony"; "Zespół Szkół Centrum Kształcenia Rolniczego"; "2025-07-14"; 
"Nauczyciel kształcenia zawodowego w zakresie fryzjerstwa"; "Kalisz, wielkopolskie"; "Umowa o pracę na czas określony"; "CENTRUM KSZTAŁCENIA ZAWODOWEGO I USTAWICZNEGO W KALISZU"; "2025-06-09"; 
"Nauczyciel kształcenia zawodowego w zawodzie kucharz, kelner"; "Kalisz, wielkopolskie"; "Umowa o pracę na czas określony"; "CENTRUM KSZTAŁCENIA ZAWODOWEGO I USTAWICZNEGO W KALISZU"; "2025-06-09"; 
"Nauczyciel kształcenia zawodowego w zawodzie sprzedawca"; "Kalisz, wielkopolskie"; "Umowa o pracę na czas określony"; "CENTRUM KSZTAŁCENIA ZAWODOWEGO I USTAWICZNEGO W KALISZU"; "2025-06-09"; 
"Nauczyciel kształcenia zawodowego z zakresu budownictwa"; "Kalisz, wielkopolskie"; "Umowa o pracę na czas określony"; "CENTRUM KSZTAŁCENIA ZAWODOWEGO I USTAWICZNEGO W KALISZU"; "2025-06-09"; 
"Nauczyciel kulturalno - oświatowy"; "Pruszków, mazowieckie"; "Umowa o pracę na czas określony"; "Młodzieżowy Dom Kultury w Pruszkowie"; "2025-07-18"; 
"Nauczyciel Kynoterapeuta"; "Braniewo, warmińsko-mazurskie"; "Umowa o pracę na czas określony"; "SPECJALNY OŚRODEK SZKOLNO-WYCHOWAWCZY"; "2025-04-09"; 
"Nauczyciel Lekarz Weterynarii"; "Rzemień, podkarpackie"; "Umowa o pracę na czas określony"; "Zespół Szkół Centrum Kształcenia Rolniczego im. prof. Władysława Szafera w Rzemieniu"; "2025-05-29"; 
"nauczyciel lektor języka angielskiego (nr 1172)"; "Kruszwica, kujawsko-pomorskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "Studio Językowe SPANGLISH Monika Zawadzka"; "2025-06-26"; 
"nauczyciel logistyki"; "Gubin, lubuskie"; "Umowa o pracę na czas określony"; "Zespół Szkół Licealnych i Technicznych"; "2025-05-15"; 
"Nauczyciel logistyki"; "Wysokie Mazowieckie, podlaskie"; "Umowa o pracę w zastępstwie"; "Zespół Szkół Zawodowych"; "2025-06-05"; 
"nauczyciel logopeda"; "Parczew, wielkopolskie"; "Umowa o pracę na czas określony"; "Szkoła Podstawowa w Parczewie"; "2025-06-12"; 
"nauczyciel logopeda"; "Dąbrowa Tarnowska, małopolskie"; "Umowa o pracę na czas określony"; "Zespół Szkół im. K.K. Baczyńskiego w Dąbrowie Tarnowskiej"; "2025-06-30"; 
"nauczyciel logopeda"; "Staszów, świętokrzyskie"; "Umowa o pracę na czas określony"; "Publiczna Poradnia Psychologiczno-Pedagogiczna w Staszowie"; "2025-07-14"; 
"nauczyciel logopeda"; "Budowo, pomorskie"; "Umowa o pracę na czas określony"; "Zespół Szkół w Motarzynie"; "2025-07-21"; 
"nauczyciel logopeda"; "Ruchna, mazowieckie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-07-23"; 
"nauczyciel logopeda"; "Cieszyn, śląskie"; "Umowa o pracę w zastępstwie"; "Zespół Placówek Szkolno - Wychowawczo - Rewalidacyjnych"; "2025-07-24"; 
"Nauczyciel logopeda"; "Pilawa, mazowieckie"; "Umowa o pracę na czas określony"; "Przedszkole Samorządowe im.Misia Uszatka w Pilawie"; "2025-04-10"; 
"Nauczyciel logopeda"; "Łempice, podlaskie"; "Umowa o pracę na czas określony"; "Szkoła Podstawowa im. Świętego Jana Pawła II w Łempicach"; "2025-05-08"; 
"Nauczyciel logopeda"; "Pinczyn, pomorskie"; "Umowa o pracę na czas nieokreślony"; "Zespół Kształcenia i Wychowania w Pinczynie"; "2025-07-01"; 
"Nauczyciel logopeda"; "Męcinka, dolnośląskie"; "Umowa o pracę na czas określony"; "Zespół Szkolno-Przedszkolny w Męcince"; "2025-07-02"; 
"Nauczyciel logopeda"; "Bańska Wyżna, małopolskie"; "Umowa o pracę na czas określony"; "SZKOŁA PODSTAWOWA IM. ŚW. WOJCIECHA W BAŃSKIEJ WYŻNEJ"; "2025-07-03"; 
"Nauczyciel logopeda"; "Kleszczele, podlaskie"; "Umowa o pracę na czas określony"; "Szkoła Podstawowa w Kleszczelach"; "2025-07-03"; 
"Nauczyciel logopeda"; "Wolsztyn, wielkopolskie"; "Umowa o pracę na czas określony"; "PRZEDSZKOLE NR 5 ""SŁONECZNA PIĄTKA"" W WOLSZTYNIE"; "2025-07-04"; 
"Nauczyciel logopeda"; "Szczuka, kujawsko-pomorskie"; "Umowa o pracę na czas określony"; "Szkoła Podstawowa im. Ziemi Michałowskiej w Gortatowie z siedzibą w Szczuce"; "2025-07-04"; 
"Nauczyciel logopeda"; "Kłokoczyn, małopolskie"; "Umowa o pracę w zastępstwie"; "STOWARZYSZENIE NA RZECZ ROZWOJU WSI im. JULIANA TUWIMA W KŁOKOCZYNIE"; "2025-07-07"; 
"Nauczyciel logopeda"; "Rzeczyca, łódzkie"; "Umowa o pracę na czas określony"; "SZKOŁA PODSTAWOWA im. Narcyzy Żmichowskiej w Rzeczycy"; "2025-07-07"; 
"Nauczyciel logopeda"; "Górki-Grubaki, mazowieckie"; "Umowa o pracę na czas określony"; "Szkoła Podstawowa im.ks.bp. Franciszka Jaczewskiego w Górkach Grubakach"; "2025-07-08"; 
"Nauczyciel logopeda"; "Dębno, zachodniopomorskie"; "Umowa o pracę na czas określony"; "SZKOŁA PODSTAWOWA NR 2 IM. ARKADEGO FIEDLERA W DĘBNIE"; "2025-07-09"; 
"Nauczyciel logopeda"; "Dębno, zachodniopomorskie"; "Umowa o pracę na czas określony"; "SZKOŁA PODSTAWOWA NR 2 IM. ARKADEGO FIEDLERA W DĘBNIE"; "2025-07-09"; 
"Nauczyciel logopeda"; "Borowa, lubelskie"; "Umowa o pracę na czas określony"; "SZKOŁA PODSTAWOWA W BOROWEJ"; "2025-07-09"; 
"Nauczyciel logopeda"; "Ciepłowody, dolnośląskie"; "Umowa o pracę w zastępstwie"; "ZESPÓŁ SZKOLNO- PRZEDSZKOLNY W CIEPŁOWODACH"; "2025-07-10"; 
"Nauczyciel logopeda"; "Brzegi, małopolskie"; "Umowa o pracę na czas nieokreślony"; "Szkoła Podstawowa im. Władysława Zamoyskiego w Brzegach"; "2025-07-11"; 
"Nauczyciel logopeda"; "Zawoja, małopolskie"; "Umowa o pracę na czas określony"; "Zespół Szkolno-Przedszkolny nr 1 w Zawoi Centrum"; "2025-07-14"; 
"Nauczyciel logopeda"; "Niedźwiedza, małopolskie"; "Umowa o pracę na czas określony"; "Publiczna Szkoła Podstawowa im. J. Dudka w Niedźwiedzy"; "2025-07-15"; 
"Nauczyciel logopeda"; "Tychowo, zachodniopomorskie"; "Umowa o pracę w zastępstwie"; "Szkoła Podstawowa im. Adama Mickiewicza w Tychowie"; "2025-07-15"; 
"Nauczyciel logopeda"; "Wólka Czepowa, wielkopolskie"; "Umowa o pracę na czas określony"; "SZKOŁA PODSTAWOWA S.P.S.K. W WÓLCE CZEPOWEJ"; "2025-07-15"; 
"Nauczyciel logopeda"; "Kwilcz, wielkopolskie"; "Umowa o pracę na czas określony"; "Szkoła Podstawowa im. Tadeusza Kościuszki w Kwilczu"; "2025-07-16"; 
"Nauczyciel logopeda"; "Leszno, wielkopolskie"; "Umowa o pracę na czas określony"; "Zespół Szkół Specjalnych im. Janusza Korczaka w Lesznie"; "2025-07-16"; 
"Nauczyciel logopeda"; "Bucz, wielkopolskie"; "Umowa o pracę na czas określony"; "SZKOŁA PODSTAWOWA IM. EDWARDA TOMIŃSKIEGO"; "2025-07-22"; 
"Nauczyciel logopeda"; "Perlejewo, podlaskie"; "Umowa o pracę na czas określony"; "Szkoła Podstawowa w Perlejewie"; "2025-07-23"; 
"Nauczyciel logopeda"; "Lubin, dolnośląskie"; "Umowa o pracę na czas określony"; "SPECJALNY OŚRODEK SZKOLNO-WYCHOWAWCZY IM. PRZYJACIÓŁ DZIECI"; "2025-07-25"; 
"Nauczyciel Logopeda"; "Zdzieszowice, opolskie"; "Umowa o pracę na czas określony"; "Publiczne Przedszkole Nr 6 im. Jana Brzechwy"; "2025-07-10"; 
"NAUCZYCIEL LOGOPEDA"; "Nowe Miasto Lubawskie, warmińsko-mazurskie"; "Umowa o pracę na czas określony"; "POWIATOWE CENTRUM ROZWOJU EDUKACJI W NOWYM MIEŚCIE LUBAWSKIM"; "2025-07-18"; 
"Nauczyciel logopeda (7,2/22 - 0,327 etatu) K/M"; "Warszawa, mazowieckie"; "Umowa o pracę na czas określony"; "Przedszkole nr 340 ""Kasztanowy Ludek"; "2025-07-14"; 
"Nauczyciel logopeda (zastępstwo) K/M"; "Warszawa, mazowieckie"; "Umowa o pracę w zastępstwie"; "Szkoła Podstawowa nr 80 im. Marii Kownackiej"; "2025-06-27"; 
"Nauczyciel logopeda 11/22 etatu"; "Stare Jabłonki, warmińsko-mazurskie"; "Umowa o pracę na czas określony"; "Przedszkole Samorządowe w Starych Jabłonkach"; "2025-07-25"; 
"Nauczyciel logopeda 20/22"; "Lubecko, śląskie"; "Umowa o pracę na czas nieokreślony"; "PUBLICZNA SZKOŁA PODSTAWOWA W LUBECKU"; "2025-07-25"; 
"nauczyciel logopeda z pedagogiką specjalną lub neurologopeda"; "Jaworzno, śląskie"; "Umowa o pracę na czas określony"; "Zespół Szkolno-Przedszkolny nr 1 w Jaworznie"; "2025-06-18"; 
"Nauczyciel logopedii"; "Kurów, małopolskie"; "Umowa o pracę na czas określony"; "Publiczna Szkoła Podstawowa Stowarzyszenia Przyjaciół Szkół Katolickich im. Św S. Faustyny Kowalskiej w Kurowie"; "2025-05-16"; 
"Nauczyciel logopedii"; "Pewelka, małopolskie"; "Umowa o pracę na czas określony"; "Publiczna Szkoła Podstawowa Stowarzyszenia Przyjaciół Szkół Katolickich im. Św. Józefa w Hucisku-Pewelce"; "2025-05-16"; 
"Nauczyciel matematyka"; "Koszalin, zachodniopomorskie"; "Umowa o pracę na czas określony"; "ZESPÓŁ SZKÓŁ NR 9 IM.ROMUALDA TRAUGUTTA"; "2025-07-22"; 
"nauczyciel matematyki"; "Darzlubie, pomorskie"; "Umowa o pracę na czas określony"; "Szkoła Podstawowa im. Maksymiliana Wilandta w Darzlubiu"; "2025-04-02"; 
"nauczyciel matematyki"; "Parczew, wielkopolskie"; "Umowa o pracę na czas określony"; "Szkoła Podstawowa w Parczewie"; "2025-06-12"; 
"nauczyciel matematyki"; "Słubice, lubuskie"; "Umowa o pracę na czas określony"; "ZESPÓŁ SZKÓŁ LICEALNYCH IM. ZBIGNIEWA HERBERTA W SŁUBICACH"; "2025-06-18"; 
"nauczyciel matematyki"; "Lubsko, lubuskie"; "Umowa o pracę na czas określony"; "Zespół Szkół Ogólnokształcących i Ekonomicznych Lubsko"; "2025-06-18"; 
"nauczyciel matematyki"; "Oleśnica, dolnośląskie"; "Umowa o pracę na czas określony"; "I Liceum Ogólnokształcące im. Juliusza Słowackiego w Oleśnicy"; "2025-06-24"; 
"nauczyciel matematyki"; "Malbork, pomorskie"; "Umowa o pracę w zastępstwie"; "I Liceum Ogólnokształcące im. Henryka Sienkiewicza w Malborku"; "2025-06-24"; 
"nauczyciel matematyki"; "Czarne, pomorskie"; "Umowa o pracę na czas określony"; "Zespół Szkół Ponadpodstawowych im. Jana Pawła II w Czarnem"; "2025-06-27"; 
"nauczyciel matematyki"; "Dąbrowa Tarnowska, małopolskie"; "Umowa o pracę na czas określony"; "Zespół Szkół im. K.K. Baczyńskiego w Dąbrowie Tarnowskiej"; "2025-06-27"; 
"nauczyciel matematyki"; "Siemyśl, zachodniopomorskie"; "Umowa o pracę na czas określony"; "SZKOŁA PODSTAWOWA IM.NOBLISTÓW POLSKICH W SIEMYŚLU"; "2025-07-01"; 
"nauczyciel matematyki"; "Świdwin, zachodniopomorskie"; "Umowa o pracę na czas określony"; "Publiczna Szkoła Podstawowa z Oddziałami Integracyjnymi Nr 2 im. ppor. Emilii Gierczak"; "2025-07-02"; 
"nauczyciel matematyki"; "Rzeszów, podkarpackie"; "Umowa o pracę w zastępstwie"; "ZESPÓŁ Szkolno-Przedszkolny nr 12"; "2025-07-03"; 
"nauczyciel matematyki"; "Ryczów, małopolskie"; "Umowa o pracę na czas określony"; "Zespół Szkolno-Przedszkolny im. Tadeusza Kościuszki w Ryczowie. Szkoła Podstawowa"; "2025-07-08"; 
"nauczyciel matematyki"; "Pobierowo, zachodniopomorskie"; "Umowa o pracę na czas nieokreślony"; "Zespół Szkół Ogólnokształcących im. Jana Pawła II"; "2025-07-08"; 
"nauczyciel matematyki"; "Świebodzin, lubuskie"; "Umowa o pracę na czas nieokreślony"; "Szkoła Podstawowa nr 3 im. Czesława Niemena"; "2025-07-08"; 
"nauczyciel matematyki"; "Dąbie, lubuskie"; "Umowa o pracę w zastępstwie"; "ZESPÓŁ SZKOLNO - PRZEDSZKOLNY W DĄBIU"; "2025-07-09"; 
"nauczyciel matematyki"; "Krzeczyn Wielki, dolnośląskie"; "Umowa o pracę na czas określony"; "SZKOŁA PODSTAWOWA IM. MARII KONOPNICKIEJ W KRZECZYNIE WIELKIM"; "2025-07-10"; 
"nauczyciel matematyki"; "Wrocław, dolnośląskie"; "Umowa o pracę na czas określony"; "Elektroniczne Zakłady Naukowe"; "2025-07-10"; 
"nauczyciel matematyki"; "Świecie, kujawsko-pomorskie"; "Umowa o pracę na czas określony"; "Zespół Szkół Ogólnokształcących i Policealnych w Świeciu"; "2025-07-11"; 
"nauczyciel matematyki"; "Dobieszczyzna, wielkopolskie"; "Umowa o pracę w zastępstwie"; "Szkoła Podstawowa im. Ks. Jana Twardowskiego w Dobieszczyźnie"; "2025-07-11"; 
"nauczyciel matematyki"; "Góra, dolnośląskie"; "Umowa o pracę w zastępstwie"; "Szkoła Podstawowa Nr 1 im. Bolesława Prusa"; "2025-07-11"; 
"nauczyciel matematyki"; "Leśna Podlaska, lubelskie"; "Umowa o pracę na czas określony"; "Zespół Szkół Centrum Kształcenia Rolniczego im. W. Witosa w Leśnej Podlaskiej"; "2025-07-14"; 
"nauczyciel matematyki"; "Skała, małopolskie"; "Umowa o pracę na czas określony"; "Szkoła Podstawowa nr 1 im.Władysława Łokietka w Skale"; "2025-07-14"; 
"nauczyciel matematyki"; "Zgorzelec, dolnośląskie"; "Umowa o pracę na czas nieokreślony"; "ZESPÓŁ SZKÓŁ PONADPODSTAWOWYCH W ZGORZELCU"; "2025-07-14"; 
"nauczyciel matematyki"; "Łuczyce, małopolskie"; "Umowa o pracę w zastępstwie"; "Szkoła Podstawowa im. Jana Pawła II w Łuczycach"; "2025-07-14"; 
"nauczyciel matematyki"; "Piława Górna, dolnośląskie"; "Umowa o pracę na czas określony"; "Specjalny Ośrodek Szkolno - Wychowawczy"; "2025-07-15"; 
"nauczyciel matematyki"; "Radymno, podkarpackie"; "Umowa o pracę na czas określony"; "Zespół Szkół Centrum Kształcenia Rolniczego"; "2025-07-14"; 
"nauczyciel matematyki"; "Brzeźnica, małopolskie"; "Umowa o pracę w zastępstwie"; "Zespół Szkolno-Przedszkolny w Brzeźnicy"; "2025-07-17"; 
"nauczyciel matematyki"; "Opole Lubelskie, lubelskie"; "Umowa o pracę na czas określony"; "SZKOŁA PODSTAWOWA NR 2 IM. OSKARA KOLBERGA W OPOLU LUB."; "2025-07-17"; 
"nauczyciel matematyki"; "Konstantynów Łódzki, łódzkie"; "Umowa o pracę na czas określony"; "Szkoła Podstawowa nr 5 im. I Armii Wojska Polskiego"; "2025-07-22"; 
"nauczyciel matematyki"; "Olkusz, małopolskie"; "Umowa o pracę na czas określony"; "Zespół Szkół Nr 4 im. Komisji Edukacji Narodowej w Olkuszu"; "2025-07-23"; 
"nauczyciel matematyki"; "Ruchna, mazowieckie"; "Umowa o pracę na czas nieokreślony"; "kontakt przez PUP"; "2025-07-23"; 
"nauczyciel matematyki"; "Wrocław, dolnośląskie"; "Umowa o pracę w zastępstwie"; "Szkoła Podstawowa nr 90 im.Prof.St.Tołpy"; "2025-07-24"; 
"nauczyciel matematyki"; "Wola Radziszowska, małopolskie"; "Umowa o pracę w zastępstwie"; "ZESPÓŁ PLACÓWEK OŚWIATOWYCH W WOLI RADZISZOWSKIEJ"; "2025-07-25"; 
"Nauczyciel matematyki"; "Nowy Dwór Mazowiecki, mazowieckie"; "Umowa o pracę na czas określony"; "Zespół Szkolno-Przedszkolny nr 4 w Nowym Dworze Mazowieckim"; "2025-01-15"; 
"Nauczyciel matematyki"; "Bolesławiec, dolnośląskie"; "Umowa o pracę na czas określony"; "Zespół Szkół Mechanicznych w Bolesławcu"; "2025-01-27"; 
"Nauczyciel matematyki"; "Kolno, podlaskie"; "Umowa o pracę na czas określony"; "Zespół Szkół Technicznych w Kolnie"; "2025-04-15"; 
"Nauczyciel matematyki"; "Kościerzyna, pomorskie"; "Umowa o pracę na czas określony"; "Fundacja Edukacji, Rozwoju Gospodarczego i Integracji Społecznej INKUBATOR"; "2025-04-23"; 
"Nauczyciel matematyki"; "Mielec, podkarpackie"; "Umowa o pracę na czas określony"; "Centrum Piłkarstwa Młodzieżowego S.C. Marek Chamielec, Zbigniew Hariasz"; "2025-05-06"; 
"Nauczyciel matematyki"; "Długopole Dolne, dolnośląskie"; "Umowa o pracę na czas określony"; "Szkoła Podstawowa w Długopolu Dolnym"; "2025-05-07"; 
"Nauczyciel matematyki"; "Środa Śląska, dolnośląskie"; "Umowa o pracę na czas określony"; "Powiatowy Zespół Szkół Nr 2 im. Wincentego Witosa"; "2025-05-09"; 
"Nauczyciel matematyki"; "Trzebinia, małopolskie"; "Umowa o pracę na czas określony"; "Zespół Szkół Techniczno-Usługowych w Trzebini"; "2025-05-16"; 
"Nauczyciel matematyki"; "Krzywiń, wielkopolskie"; "Umowa o pracę na czas określony"; "Zespół Szkół w Krzywiniu"; "2025-05-19"; 
"Nauczyciel matematyki"; "Gorzów Wielkopolski, lubuskie"; "Umowa o pracę na czas określony"; "Szkoła Podstawowa nr 10 z Oddziałami Integracyjnymi im. Tadeusza Kościuszki"; "2025-05-20"; 
"Nauczyciel matematyki"; "Pniewo, wielkopolskie"; "Umowa o pracę na czas określony"; "Katolicka Szkoła Podstawowa im. Św. Faustyny S.P.S.K"; "2025-05-21"; 
"Nauczyciel matematyki"; "Wisła, śląskie"; "Umowa o pracę na czas określony"; "Szkoła Podstawowa nr 5 Wisła"; "2025-05-26"; 
"Nauczyciel matematyki"; "Goleniów, zachodniopomorskie"; "Umowa o pracę na czas określony"; "Zespół Szkół nr 1"; "2025-05-27"; 
"Nauczyciel matematyki"; "Bolesławiec, dolnośląskie"; "Umowa o pracę na czas określony"; "Zespół Szkół Mechanicznych w Bolesławcu"; "2025-05-28"; 
"Nauczyciel matematyki"; "Różanki, lubuskie"; "Umowa o pracę na czas określony"; "Szkoła Podstawowa im. Jana Pawła II"; "2025-05-28"; 
"Nauczyciel matematyki"; "Niepoczołowice, pomorskie"; "Umowa o pracę w zastępstwie"; "SZKOŁA PODSTAWOWA w Niepoczołowicach"; "2025-05-29"; 
"Nauczyciel matematyki"; "Mrągowo, warmińsko-mazurskie"; "Umowa o pracę w zastępstwie"; "I Liceum Ogólnokształcące im. Obrońców Westerplatte w Mrągowie"; "2025-06-03"; 
"Nauczyciel matematyki"; "Ciechanowiec, podlaskie"; "Umowa o pracę na czas określony"; "Szkoła Podstawowa im. Mikołaja Kopernika w Ciechanowcu"; "2025-06-04"; 
"Nauczyciel matematyki"; "Nakło nad Notecią, kujawsko-pomorskie"; "Umowa o pracę na czas określony"; "Zespół Szkół Żeglugi Śródlądowej w Nakle nad Notecią"; "2025-06-04"; 
"Nauczyciel matematyki"; "Nidzica, warmińsko-mazurskie"; "Umowa o pracę na czas określony"; "Szkoła Podstawowa Nr 3 im. Janusza Korczaka w Nidzicy"; "2025-06-05"; 
"Nauczyciel matematyki"; "Świętochłowice, śląskie"; "Umowa o pracę na czas określony"; "ZESPÓŁ SZKÓŁ TECHNICZNYCH I ZAWODOWYCH IM. AUGUSTYNA ŚWIDRA W ŚWIĘTOCHŁOWICACH"; "2025-06-10"; 
"Nauczyciel matematyki"; "Jabłonna, mazowieckie"; "Umowa o pracę na czas określony"; "Szkoła Podstawowa im. Armii Krajowej w Jabłonnie"; "2025-06-11"; 
"Nauczyciel matematyki"; "Łomża, podlaskie"; "Umowa o pracę na czas określony"; "SZKOŁA PODSTAWOWA NR 1 W ŁOMŻY"; "2025-06-16"; 
"Nauczyciel matematyki"; "Świecie, kujawsko-pomorskie"; "Umowa o pracę w zastępstwie"; "I LICEUM OGÓLNOKSZTAŁCĄCE IM. FLORIANA CEYNOWY W ŚWIECIU"; "2025-06-16"; 
"Nauczyciel matematyki"; "Świecie, kujawsko-pomorskie"; "Umowa o pracę na czas określony"; "I LICEUM OGÓLNOKSZTAŁCĄCE IM. FLORIANA CEYNOWY W ŚWIECIU"; "2025-06-16"; 
"Nauczyciel matematyki"; "Poniatowa, lubelskie"; "Umowa o pracę na czas określony"; "Zespół Szkół w Poniatowej"; "2025-06-16"; 
"Nauczyciel matematyki"; "Rumia, pomorskie"; "Umowa o pracę na czas określony"; "Szkoła Podstawowa nr 8 im. Ks. Stanisława Ormińskiego"; "2025-06-17"; 
"Nauczyciel matematyki"; "Słomin, mazowieckie"; "Umowa o pracę na czas określony"; "Szkoła Podstawowa im. Włodzimierza Potockiego w Sękocinie"; "2025-06-17"; 
"Nauczyciel matematyki"; "Barlinek, zachodniopomorskie"; "Umowa o pracę na czas określony"; "Szkoła Podstawowa nr 4 w Barlinku"; "2025-06-11"; 
"Nauczyciel matematyki"; "Kostrzyn nad Odrą, lubuskie"; "Umowa o pracę na czas nieokreślony"; "kontakt przez PUP"; "2025-06-17"; 
"Nauczyciel matematyki"; "Siedlce, mazowieckie"; "Umowa o pracę na czas określony"; "Centrum Kształcenia Ustawicznego"; "2025-06-18"; 
"Nauczyciel matematyki"; "Sztum, pomorskie"; "Umowa o pracę na czas określony"; "Zespół Szkół im. Jana Kasprowicza"; "2025-06-23"; 
"Nauczyciel matematyki"; "Płaza, małopolskie"; "Umowa o pracę na czas nieokreślony"; "Szkoła Podstawowa im. Wojska Polskiego w Płazie"; "2025-06-24"; 
"Nauczyciel matematyki"; "Mielec, podkarpackie"; "Umowa o pracę na czas nieokreślony"; "ZESPÓŁ SZKÓŁ OGÓLNOKSZTAŁCĄCYCH NR 1 IM. ST. SIERŻ. PILOTA STANISŁAWA DZIAŁOWSKIEGO W MIELCU"; "2025-06-24"; 
"Nauczyciel matematyki"; "Brzeźno, lubelskie"; "Umowa o pracę na czas określony"; "ETD INVESTMENT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-06-26"; 
"Nauczyciel matematyki"; "Kęty, małopolskie"; "Umowa o pracę na czas określony"; "NIEPUBLICZNA SZKOŁA PODSTAWOWA RISE Z ODDZIAŁAMI DWUJĘZYCZNYMI"; "2025-06-26"; 
"Nauczyciel matematyki"; "Chełmno, wielkopolskie"; "Umowa o pracę na czas określony"; "Szkoła Podstawowa w Chełmnie"; "2025-06-27"; 
"Nauczyciel matematyki"; "Radoszki, kujawsko-pomorskie"; "Umowa o pracę na czas określony"; "Szkoła Podstawowa im. Janusza Korczaka w Radoszkach"; "2025-06-30"; 
"Nauczyciel matematyki"; "Koszalin, zachodniopomorskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-06-30"; 
"Nauczyciel matematyki"; "Bardo, dolnośląskie"; "Umowa o pracę na czas nieokreślony"; "ZESPÓŁ SZKOLNO-PRZEDSZKOLNY IM.KOMISJI EDUKACJI NARODOWEJ W BARDZIE Z FILIĄ W PRZYŁĘKU"; "2025-06-30"; 
"Nauczyciel matematyki"; "Głobino, pomorskie"; "Umowa o pracę na czas określony"; "Szkoła Podstawowa im. Henryka Sienkiewicza w Głobinie"; "2025-06-30"; 
"Nauczyciel matematyki"; "Polkowice, dolnośląskie"; "Umowa o pracę na czas określony"; "Szkoła Podstawowa nr 1 im. Jana Wyzykowskiego w Polkowicach"; "2025-07-01"; 
"Nauczyciel matematyki"; "Opole, opolskie"; "Umowa o pracę na czas określony"; "Publiczne Liceum Ogólnokształcące nr VIII"; "2025-07-01"; 
"Nauczyciel matematyki"; "Kozłowo, warmińsko-mazurskie"; "Umowa o pracę na czas określony"; "ZESPÓŁ SZKOLNO-PRZEDSZKOLNY W KOZŁOWIE"; "2025-07-01"; 
